,0
var_81,0.021141557601245378
var_139,0.01687991593786068
var_12,0.013869331898498892
var_110,0.01285517585962767
var_53,0.012603422754725065
var_26,0.012261206894987862
var_146,0.011786452360519952
var_6,0.0117589222406395
var_174,0.010865926671548872
var_22,0.010303094894935083
var_109,0.01000155223673691
var_166,0.009859462800397588
var_76,0.00972477538117574
var_80,0.009413555235449901
var_99,0.009040651060265316
var_2,0.008677078298967163
var_148,0.00856894870990114
var_133,0.0084951959838576
var_21,0.008475220307172475
var_198,0.008301527762029639
var_165,0.00823612379719796
var_190,0.008214024941357624
var_44,0.007953268659409832
var_0,0.007920187626026734
var_13,0.007702411618475993
var_179,0.007648337190067603
var_78,0.0074724201740501905
var_40,0.007117742050243708
var_164,0.007022578384554268
var_34,0.006966657423754292
var_94,0.006673346924187095
var_1,0.006600654880719877
var_170,0.00635863924920963
var_115,0.006240252230984814
var_33,0.006199185087990982
var_92,0.0060685590115763886
var_154,0.00604644775256158
var_149,0.006005380166554024
var_169,0.005964838948811233
var_184,0.005837926333219636
var_191,0.005828598089169686
var_108,0.005798677259856338
var_121,0.005551500013587761
var_177,0.005551075960878876
var_192,0.005540625722975309
var_9,0.005532458258444502
var_18,0.005489917150782794
var_67,0.0054018417847149424
var_122,0.005356748343055452
var_123,0.0052135894451803225
var_173,0.005168827566809753
var_95,0.00514352149853373
var_107,0.0051074923936875625
var_91,0.004982561246887045
var_86,0.00493591835491825
var_172,0.004920943788365163
var_118,0.004892522734282439
var_147,0.004890487343211558
var_127,0.004853015430900228
var_75,0.004791956470012579
var_56,0.004707363825706106
var_155,0.004699154978491315
var_36,0.00463594895919486
var_89,0.004630207945080731
var_188,0.004610149565652863
var_35,0.004602652457535107
var_87,0.00448467485378953
var_93,0.0044736108628364414
var_5,0.004440199470323618
var_71,0.004411219995151708
var_180,0.004402871061362189
var_197,0.0043981540385625425
var_163,0.0043548801790088115
var_48,0.004338805844300947
var_157,0.004336569054530837
var_106,0.004334907862311304
var_131,0.004332054041532129
var_119,0.004304802662025133
var_162,0.00427911084222225
var_167,0.004272162473302686
var_32,0.004248113929811115
var_145,0.004206497003358861
var_130,0.004195761670244131
var_70,0.004158603538909334
var_90,0.004148518317271536
var_186,0.004128810479454869
var_52,0.004127535034074798
var_24,0.0041227786455380055
var_141,0.00412178395508855
var_51,0.004107901141742961
var_49,0.0041051918558049245
var_104,0.004084730416741611
var_195,0.004074839313898822
var_150,0.004070603256065856
var_125,0.00406871303395796
var_137,0.004068097772878166
var_31,0.0040651873925431495
var_43,0.004052786237206466
var_151,0.004044738450417841
var_128,0.0040289006854891595
var_135,0.004012261010768922
var_199,0.00396407501735972
var_132,0.0039368272356121985
var_112,0.003922673109872798
var_114,0.0039203707403666814
var_45,0.0039012753577496546
var_111,0.003898618367367021
var_23,0.003892833896788697
var_196,0.0038854332665555586
var_58,0.0038828577547602937
var_105,0.00388083575713845
var_85,0.0038779424124056744
var_82,0.003876589655112676
var_144,0.0038724181485173116
var_156,0.0038585580066812144
var_11,0.0038490057602630296
var_28,0.003846725149656059
var_66,0.0038406771968271646
var_8,0.0038140005477895773
var_194,0.0038110530882678284
var_175,0.0037926420741040317
var_102,0.00378506074839477
var_116,0.0037753355354458503
var_134,0.003749818197858006
var_20,0.003743801195649373
var_15,0.003729120921656286
var_74,0.003724694199463726
var_138,0.003721737881478778
var_55,0.003706680877561271
var_83,0.0036974957562435702
var_142,0.0036851400366578507
var_97,0.003674418106122937
var_88,0.0036651983101512503
var_54,0.003637150194294693
var_178,0.0036249856825148323
var_77,0.003615774504576792
var_72,0.003614973622005202
var_120,0.0036070417168915904
var_63,0.0036026853862420045
var_140,0.0035998691066637654
var_3,0.003599621470619418
var_50,0.0035923302100018283
var_168,0.0035917664079210517
var_57,0.0035903994710378847
var_187,0.0035810371681205596
var_37,0.0035749361577634992
var_171,0.003573415012904414
var_152,0.0035702798811246173
var_159,0.0035701095081935546
var_47,0.003562490763491492
var_69,0.003561136341364625
var_193,0.0035608794026348012
var_100,0.0035514729748257236
var_113,0.0035432822661861994
var_84,0.0035387211321044392
var_25,0.0035381944015530774
var_158,0.003534727000539008
var_189,0.0035340070302722136
var_64,0.003528590183855669
var_4,0.0035279160629998574
var_61,0.0035267553251484163
var_46,0.0035249292406952393
var_79,0.0035233249087449304
var_143,0.003521696209404458
var_129,0.003507019619463074
var_14,0.0035017020585798564
var_126,0.0034982397465614357
var_181,0.0034951069756593077
var_19,0.003478811244112764
var_153,0.0034748859800786003
var_65,0.003474714860400592
var_62,0.00347406299654477
var_160,0.0034733336758863333
var_103,0.0034721954678181228
var_38,0.003466766251334802
var_16,0.0034660600281565907
var_176,0.003458735384251442
var_17,0.0034581765147978067
var_96,0.003458159605460712
var_182,0.0034566494908074602
var_27,0.0034559273575342064
var_73,0.003449049926600672
var_183,0.003446769369335181
var_124,0.003446126030604059
var_60,0.00343962031018968
var_41,0.0034385173498383825
var_161,0.0034342672504670824
var_101,0.0034325729338526663
var_136,0.003422768517967723
var_42,0.0034217479400263824
var_185,0.003421079112161629
var_39,0.003416997628744671
var_30,0.0034160937962591713
var_59,0.003414977847442946
var_29,0.003399699606482696
var_98,0.0033935195740146733
var_68,0.003381327335481897
var_7,0.0033399490730187647
var_117,0.0033304812519966507
var_10,0.0032993845215536664
